,sentiment
0,4
1,0
2,0
3,4
4,4
5,4
6,0
7,0
8,0
9,4
10,4
11,0
12,4
13,4
14,0
15,4
16,4
17,4
18,4
19,0
20,0
21,4
22,4
23,0
24,4
25,4
26,4
27,0
28,0
29,4
30,4
31,4
32,0
33,0
34,0
35,4
36,4
37,0
38,4
39,4
40,0
41,4
42,4
43,4
44,4
45,0
46,0
47,4
48,4
49,0
50,4
51,4
52,4
53,0
54,0
55,4
56,4
57,4
58,0
59,0
60,0
61,4
62,4
63,0
64,4
65,4
66,0
67,4
68,4
69,4
70,4
71,0
72,0
73,4
74,4
75,0
76,4
77,4
78,4
79,0
80,0
81,4
82,4
83,4
84,0
85,0
86,0
87,4
88,4
89,0
90,4
91,4
92,0
93,4
94,4
95,4
96,4
97,0
98,0
99,4
100,4
101,0
102,4
103,4
104,4
105,0
106,0
107,4
108,4
109,4
110,0
111,0
112,0
113,4
114,4
115,0
116,4
117,4
118,0
119,4
120,4
121,4
122,4
123,0
124,0
125,4
126,4
127,0
128,4
129,4
