,sentiment
0,4
1,0
2,0
3,4
4,4
5,4
6,4
7,0
8,0
9,0
10,4
11,4
12,4
13,4
14,4
15,0
16,4
17,4
18,0
19,0
20,4
21,4
22,4
23,4
24,4
25,4
26,0
27,0
28,0
29,4
30,0
31,4
32,4
33,4
34,4
35,4
36,0
37,0
38,4
39,4
40,0
41,4
42,4
43,0
44,4
45,4
46,0
47,4
48,0
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,0
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,0
66,0
67,0
68,4
69,0
70,4
71,0
72,0
73,4
74,4
75,4
76,4
77,0
78,4
79,4
80,4
81,4
82,0
83,4
84,4
85,0
86,4
87,4
88,0
89,4
90,4
91,0
92,0
93,4
94,4
95,4
96,0
97,4
98,4
99,4
100,4
101,0
102,0
103,4
104,4
105,4
106,4
107,0
108,0
109,0
110,4
111,4
112,4
113,4
114,4
115,0
116,4
117,4
118,0
119,0
120,4
121,4
122,4
123,4
124,4
125,4
126,0
127,0
128,0
129,4
130,0
131,4
132,4
133,4
134,4
135,4
136,0
137,0
138,4
139,4
140,0
141,4
142,4
143,0
144,4
145,4
146,0
147,4
148,0
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,0
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,0
166,0
167,0
168,4
169,0
170,4
171,0
172,0
173,4
174,4
175,4
176,4
177,0
178,4
179,4
180,4
181,4
182,0
183,4
184,4
185,0
186,4
187,4
188,0
189,4
190,4
191,0
192,0
193,4
194,4
195,4
196,0
197,4
198,4
199,4
200,4
201,0
202,0
203,4
204,4
205,4
206,4
207,0
208,0
209,0
210,4
211,4
212,4
213,4
214,4
215,0
216,4
217,4
218,0
219,0
220,4
221,4
222,4
223,4
224,4
225,4
226,0
227,0
228,0
229,4
230,0
231,4
232,4
233,4
234,4
235,4
236,0
237,0
238,4
239,4
240,0
241,4
242,4
243,0
244,4
245,4
246,0
247,4
248,0
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,0
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,0
266,0
267,0
268,4
269,0
270,4
271,0
272,0
273,4
274,4
275,4
276,4
277,0
278,4
279,4
280,4
281,4
282,0
283,4
284,4
285,0
286,4
287,4
288,0
289,4
290,4
291,0
292,0
293,4
294,4
295,4
296,0
297,4
298,4
299,4
300,4
301,0
302,0
303,4
304,4
305,4
306,4
307,0
308,0
309,0
310,4
311,4
312,4
313,4
314,4
315,0
316,4
317,4
318,0
319,0
320,4
321,4
322,4
323,4
324,4
325,4
326,0
327,0
328,0
329,4
330,0
331,4
332,4
333,4
334,4
335,4
336,0
337,0
338,4
339,4
340,0
341,4
342,4
343,0
344,4
345,4
346,0
347,4
348,0
349,4
350,4
351,4
352,4
353,4
354,4
355,4
356,0
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,0
366,0
367,0
368,4
369,0
370,4
371,0
372,0
373,4
374,4
375,4
376,4
377,0
378,4
379,4
380,4
381,4
382,0
383,4
384,4
385,0
386,4
387,4
388,0
389,4
390,4
391,0
392,0
393,4
394,4
395,4
396,0
397,4
398,4
399,4
400,4
401,0
402,0
403,4
404,4
405,4
406,4
407,0
408,0
409,0
410,4
411,4
412,4
413,4
414,4
415,0
416,4
417,4
418,0
419,0
420,4
421,4
422,4
423,4
424,4
425,4
426,0
427,0
428,0
429,4
430,0
431,4
432,4
433,4
434,4
435,4
436,0
437,0
438,4
439,4
440,0
441,4
442,4
443,0
444,4
445,4
446,0
447,4
448,0
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,0
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,0
466,0
467,0
468,4
469,0
470,4
471,0
472,0
473,4
474,4
475,4
476,4
477,0
478,4
479,4
480,4
481,4
482,0
483,4
484,4
485,0
486,4
487,4
488,0
489,4
490,4
491,0
492,0
493,4
494,4
495,4
496,0
497,4
498,4
499,4
