,sentiment
0,4
1,4
2,4
3,0
4,4
5,4
6,0
7,0
8,0
9,4
10,0
11,4
12,0
13,4
14,4
15,0
16,4
17,4
18,0
19,4
20,4
21,0
22,0
23,0
24,4
25,0
26,4
27,4
28,0
29,0
30,4
31,0
32,0
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,0
41,4
42,4
43,0
44,4
45,0
46,0
47,4
48,4
49,0
50,0
51,4
52,0
53,4
54,0
55,0
56,4
57,4
58,0
59,4
60,0
61,0
62,4
63,0
64,4
65,0
66,0
67,0
68,4
69,0
70,0
71,0
72,4
73,4
74,4
75,4
76,4
77,4
78,0
79,4
80,0
81,0
82,0
83,0
84,0
85,0
86,4
87,4
88,4
89,4
90,4
91,0
92,4
93,4
94,0
95,0
96,0
97,4
98,0
99,4
100,0
101,4
102,4
103,0
104,4
105,4
106,0
107,4
108,4
109,0
110,0
111,0
112,4
113,0
114,4
115,4
116,0
117,0
118,4
119,0
120,0
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,0
129,4
130,4
131,0
132,4
133,0
134,0
135,4
136,4
137,0
138,0
139,4
140,0
141,4
142,0
143,0
144,4
145,4
146,0
147,4
148,0
149,0
150,4
151,0
152,4
153,0
154,0
155,0
156,4
157,0
158,0
159,0
160,4
161,4
162,4
163,4
164,4
165,4
166,0
167,4
168,0
169,0
170,0
171,0
172,0
173,0
174,4
175,4
176,4
177,4
178,4
179,0
180,4
181,4
182,0
183,0
184,0
185,4
186,0
187,4
188,0
189,4
190,4
191,0
192,4
193,4
194,0
195,4
196,4
197,0
198,0
199,0
200,4
201,0
202,4
203,4
204,0
205,0
206,4
207,0
208,0
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,0
217,4
218,4
219,0
220,4
221,0
222,0
223,4
224,4
225,0
226,0
227,4
228,0
229,4
230,0
231,0
232,4
233,4
234,0
235,4
236,0
237,0
238,4
239,0
240,4
241,0
242,0
243,0
244,4
245,0
246,0
247,0
248,4
249,4
250,4
251,4
252,4
253,4
254,0
255,4
256,0
257,0
258,0
259,0
260,0
261,0
262,4
263,4
264,4
265,4
266,4
267,0
268,4
269,4
270,0
271,0
272,0
273,4
274,0
275,4
276,0
277,4
278,4
279,0
280,4
281,4
282,0
283,4
284,4
285,0
286,0
287,0
288,4
289,0
290,4
291,4
292,0
293,0
294,4
295,0
296,0
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,0
305,4
306,4
307,0
308,4
309,0
310,0
311,4
312,4
313,0
314,0
315,4
316,0
317,4
318,0
319,0
320,4
321,4
322,0
323,4
324,0
325,0
326,4
327,0
328,4
329,0
330,0
331,0
332,4
333,0
334,0
335,0
336,4
337,4
338,4
339,4
340,4
341,4
342,0
343,4
344,0
345,0
346,0
347,0
348,0
349,0
350,4
351,4
352,4
353,4
354,4
355,0
356,4
357,4
358,0
359,0
360,0
361,4
362,0
363,4
364,0
365,4
366,4
367,0
368,4
369,4
370,0
371,4
372,4
373,0
374,0
375,0
376,4
377,0
378,4
379,4
380,0
381,0
382,4
383,0
384,0
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,0
393,4
394,4
395,0
396,4
397,0
398,0
399,4
400,4
401,0
402,0
403,4
404,0
405,4
406,0
407,0
408,4
409,4
410,0
411,4
412,0
413,0
414,4
415,0
416,4
417,0
418,0
419,0
420,4
421,0
422,0
423,0
424,4
425,4
426,4
427,4
428,4
429,4
430,0
431,4
432,0
433,0
434,0
435,0
436,0
437,0
438,4
439,4
