,sentiment
0,4
1,4
2,0
3,4
4,4
5,4
6,4
7,4
8,4
9,0
10,4
11,4
12,0
13,4
14,0
15,4
16,4
17,4
18,0
19,4
20,4
21,0
22,4
23,0
24,0
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,0
34,4
35,4
36,4
37,4
38,4
39,0
40,4
41,4
42,4
43,4
44,4
45,0
46,4
47,0
48,0
49,4
50,4
51,4
52,4
53,4
54,0
55,4
56,4
57,0
58,0
59,0
60,4
61,0
62,4
63,0
64,4
65,4
66,4
67,4
68,4
69,4
70,0
71,4
72,4
73,0
74,4
75,0
76,4
77,0
78,4
79,4
80,4
81,0
82,4
83,4
84,4
85,4
86,4
87,4
88,0
89,4
90,0
91,0
92,0
93,4
94,4
95,4
96,0
97,4
98,4
99,4
100,4
101,4
102,0
103,4
104,4
105,4
106,4
107,4
108,4
109,0
110,4
111,4
112,0
113,4
114,0
115,4
116,4
117,4
118,0
119,4
120,4
121,0
122,4
123,0
124,0
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,0
134,4
135,4
136,4
137,4
138,4
139,0
140,4
141,4
142,4
143,4
144,4
145,0
146,4
147,0
148,0
149,4
150,4
151,4
152,4
153,4
154,0
155,4
156,4
157,0
158,0
159,0
160,4
161,0
162,4
163,0
164,4
165,4
166,4
167,4
168,4
169,4
170,0
171,4
172,4
173,0
174,4
175,0
176,4
177,0
178,4
179,4
180,4
181,0
182,4
183,4
184,4
185,4
186,4
187,4
188,0
189,4
190,0
191,0
192,0
193,4
194,4
195,4
196,0
197,4
198,4
199,4
200,4
201,4
202,0
203,4
204,4
205,4
206,4
207,4
208,4
209,0
210,4
211,4
212,0
213,4
214,0
215,4
216,4
217,4
218,0
219,4
220,4
221,0
222,4
223,0
224,0
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,0
234,4
235,4
236,4
237,4
238,4
239,0
240,4
241,4
242,4
243,4
244,4
245,0
246,4
247,0
248,0
249,4
250,4
251,4
252,4
253,4
254,0
255,4
256,4
257,0
258,0
259,0
260,4
261,0
262,4
263,0
264,4
265,4
266,4
267,4
268,4
269,4
270,0
271,4
272,4
273,0
274,4
275,0
276,4
277,0
278,4
279,4
280,4
281,0
282,4
283,4
284,4
285,4
286,4
287,4
288,0
289,4
290,0
291,0
292,0
293,4
294,4
295,4
296,0
297,4
298,4
299,4
300,4
301,4
302,0
303,4
304,4
305,4
306,4
307,4
308,4
309,0
310,4
311,4
312,0
313,4
314,0
315,4
316,4
317,4
318,0
319,4
320,4
321,0
322,4
323,0
324,0
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,0
334,4
335,4
336,4
337,4
338,4
339,0
340,4
341,4
342,4
343,4
344,4
345,0
346,4
347,0
348,0
349,4
350,4
351,4
352,4
353,4
354,0
355,4
356,4
357,0
358,0
359,0
360,4
361,0
362,4
363,0
364,4
365,4
366,4
367,4
368,4
369,4
370,0
371,4
372,4
373,0
374,4
375,0
376,4
377,0
378,4
379,4
380,4
381,0
382,4
383,4
384,4
385,4
386,4
387,4
388,0
389,4
390,0
391,0
392,0
393,4
394,4
395,4
396,0
397,4
398,4
399,4
400,4
401,4
402,0
403,4
404,4
405,4
406,4
407,4
408,4
409,0
410,4
411,4
412,0
413,4
414,0
415,4
416,4
417,4
418,0
419,4
420,4
421,0
422,4
423,0
424,0
425,4
426,4
427,4
428,4
429,4
430,4
431,4
432,4
433,0
434,4
435,4
436,4
437,4
438,4
439,0
440,4
441,4
442,4
443,4
444,4
445,0
446,4
447,0
448,0
449,4
450,4
451,4
452,4
453,4
454,0
455,4
456,4
457,0
458,0
459,0
460,4
461,0
462,4
463,0
464,4
465,4
466,4
467,4
468,4
469,4
470,0
471,4
472,4
473,0
474,4
475,0
476,4
477,0
478,4
479,4
480,4
481,0
482,4
483,4
484,4
485,4
486,4
487,4
488,0
489,4
490,0
491,0
492,0
493,4
494,4
495,4
496,0
497,4
498,4
499,4
